Date,Close,High,Low,Open,Volume,Return,Volatility_10,Volatility_30,RSI,MACD,MACD_Signal
5/29/1980,2.181837082,2.181837082,2.181837082,2.181837082,0,0,0.012999128,0.01033794,68.57134672,0.062999819,0.06375843
5/30/1980,2.17446661,2.203950915,2.17446661,2.181837752,6540,-0.003378104,0.013103994,0.01040551,65.71421178,0.060108193,0.063028383
6/2/1980,2.181837082,2.211321377,2.181837082,2.181837082,934,0.003389554,0.009428272,0.009724924,60,0.057745638,0.061971834
6/3/1980,2.181837082,2.211321377,2.181837082,2.181837082,18686,0,0.00926576,0.009724924,60,0.055236563,0.06062478
6/4/1980,2.189208031,2.218692324,2.189208031,2.189208031,8409,0.003378322,0.006956604,0.009685747,61.29029565,0.053229284,0.05914568
6/5/1980,2.189208031,2.189208031,2.189208031,2.189208031,0,0,0.00672909,0.009325707,61.29029565,0.051050027,0.05752655
6/6/1980,2.20395112,2.23343569,2.20395112,2.20395112,2803,0.00673444,0.00694732,0.009315896,80.76933603,0.049936953,0.05600863
6/9/1980,2.226064205,2.255548508,2.226064205,2.226064205,8409,0.010033383,0.006924294,0.009355827,80.76916857,0.05025981,0.054858866
6/10/1980,2.233434916,2.262919213,2.233434916,2.233434916,2803,0.003311095,0.006314118,0.009265608,76.19038084,0.050527977,0.053992689
6/11/1980,2.233434916,2.233434916,2.233434916,2.233434916,0,0,0.003890452,0.009065136,73.6842822,0.050162262,0.053226603
6/12/1980,2.233434916,2.233434916,2.233434916,2.233434916,0,0,0.003890452,0.009089498,73.6842822,0.049304083,0.052442099
6/13/1980,2.233434916,2.233434916,2.233434916,2.233434916,0,0,0.003461084,0.009112104,68.75008844,0.048069851,0.05156765
6/16/1980,2.240805864,2.270290425,2.240805864,2.240805864,7474,0.003300275,0.003459178,0.009089544,64.28551625,0.047143051,0.05068273
6/17/1980,2.226064205,2.255548508,2.226064205,2.240806225,934,-0.006578731,0.004495072,0.009241873,75.00080864,0.044703711,0.049486926
6/18/1980,2.226064205,2.226064205,2.226064205,2.226064205,0,0,0.004508397,0.008552302,75.00080864,0.042283102,0.048046161
6/19/1980,2.226064205,2.255548508,2.226064205,2.226064205,1869,0,0.004508397,0.008552302,81.8185828,0.039904756,0.04641788
6/20/1980,2.226064205,2.255548508,2.226064205,2.226064205,1869,0,0.004158942,0.008559301,80.00058222,0.037586624,0.044651629
6/23/1980,2.226064205,2.226064205,2.226064205,2.226064205,0,0,0.002690204,0.008564678,80.00058222,0.035342086,0.04278972
6/24/1980,2.078640699,2.108124978,2.078640699,2.108124978,1869,-0.06622608,0.020968169,0.014594419,24.1378695,0.021420506,0.038515877
6/25/1980,2.078640699,2.078640699,2.078640699,2.078640699,0,0,0.020968169,0.014594419,24.1378695,0.010269177,0.032866537
6/26/1980,2.13613677,2.167095406,2.13613677,2.167095406,890,0.027660418,0.023640998,0.015494373,36.78165193,0.006001935,0.027493617
6/27/1980,2.13613677,2.13613677,2.13613677,2.13613677,0,0,0.023640998,0.015494373,30.81776359,0.002590255,0.022512945
6/30/1980,2.066479683,2.097438442,2.066479683,2.097438442,8008,-0.032608908,0.025062268,0.016019518,21.86362157,-0.005668922,0.016876571
7/1/1980,2.04326129,2.074219925,2.04326129,2.066480201,890,-0.011235723,0.025080823,0.016008566,20.27679443,-0.013927364,0.010715784
7/2/1980,2.04326129,2.074219925,2.04326129,2.04326129,3559,0,0.025080823,0.01546834,20.27679443,-0.020238937,0.00452484
7/3/1980,2.035521269,2.0664799,2.035521269,2.043260992,3559,-0.003788072,0.024970891,0.01538939,19.79779575,-0.025570696,-0.001494267
7/7/1980,2.020042181,2.035520969,2.020042181,2.035520969,890,-0.007604483,0.024794388,0.01541846,17.12437032,-0.030691395,-0.007333693
7/8/1980,2.012302876,2.035521258,2.012302876,2.020042468,9788,-0.003831259,0.024662588,0.01524034,17.48911445,-0.03497096,-0.012861146
7/9/1980,2.020042181,2.035520969,2.020042181,2.020042181,53389,0.003845994,0.014833754,0.015101468,19.38685786,-0.037307985,-0.017750514
7/10/1980,2.167094707,2.190313742,2.167094707,2.167094707,5339,0.07279676,0.028188018,0.020330917,43.9023813,-0.02698314,-0.019597039
7/11/1980,2.167094707,2.167094707,2.167094707,2.167094707,0,0,0.026997352,0.020330917,43.9023813,-0.018586373,-0.019394906
7/14/1980,2.097439528,2.120657919,2.097439528,2.120657919,7118,-0.032142195,0.029064099,0.021155934,38.37449699,-0.017352438,-0.018986412
7/15/1980,2.081958771,2.097438082,2.081958771,2.097438082,1780,-0.007380788,0.027087288,0.021170511,50.39382913,-0.017422864,-0.018673703
